manufacturer,vehicle,model,type,fuel,color,vrm
Jeep,Fiat Altima,Fiesta,Coupe,Gasoline,white,RW04EQP
Chrysler,Fiat F-150,Aventador,Hatchback,Hybrid,turquoise,FD26ROE
Mazda,Kia Ranchero,CX-9,SUV,Diesel,teal,BN87SAI
Fiat,Honda Mercielago,Explorer,Sedan,Electric,sky blue,AW69FVQ
Smart,Fiat Expedition,Taurus,Passenger Van,Gasoline,magenta,TP47SAP
Polestar,Volvo Altima,CTS,Coupe,Electric,white,FQ63UUN
Jaguar,Maserati Beetle,Taurus,Wagon,Electric,orange,ZD39OOK
Volvo,Volkswagen Land Cruiser,Impala,Wagon,Hybrid,sky blue,RN81LJX
Aston Martin,Lamborghini Volt,Model X,SUV,Hybrid,red,IJ78USM
Mini,Jeep Malibu,Spyder,Extended Cab Pickup,Gasoline,plum,HZ42HGF
Dodge,Mazda A4,2,Hatchback,Diesel,green,WN42SUH
Ferrari,Jeep Focus,Impala,Minivan,Diesel,fuchsia,EJ57UNX
Lamborghini,Chrysler V90,A8,SUV,Electric,green,OS14JYC
Chrysler,Kia Silverado,Element,Cargo Van,Electric,violet,JC86BUK
Mini,Jaguar A4,A8,Crew Cab Pickup,Hybrid,fuchsia,HL88RQA
Bugatti,Nissan Explorer,Camry,Cargo Van,Gasoline,blue,PL51JAY
Polestar,Volvo Charger,Charger,SUV,Hybrid,turquoise,ZL54RMC
Porsche,Volvo LeBaron,Beetle,Sedan,Hybrid,green,QU01SQR
Aston Martin,Maserati Model S,F-150,Cargo Van,Electric,lavender,UX87NXS
Bugatti,Bentley Volt,Camry,Coupe,Hybrid,orchid,SX59WST
Nissan,Dodge 1,CX-9,Extended Cab Pickup,Gasoline,white,QE41XVW
Bugatti,Smart Colorado,Land Cruiser,Sedan,Gasoline,orange,HZ92UNN
Fiat,Polestar 1,Model T,Extended Cab Pickup,Hybrid,violet,BN29VAH
Mini,Jeep Aventador,Accord,Cargo Van,Diesel,sky blue,HI88XON
Mini,Dodge Durango,Mercielago,Minivan,Electric,black,IA85FIV
Kia,Rolls Royce 1,Roadster,Extended Cab Pickup,Diesel,white,YJ09XYO
Smart,Honda 2,Land Cruiser,Coupe,Diesel,blue,KF33DEW
Maserati,BMW LeBaron,V90,SUV,Diesel,mint green,LS12WOM
Ford,Honda Mustang,Silverado,Coupe,Diesel,olive,DM75EEP
Land Rover,Toyota CX-9,F-150,SUV,Electric,plum,EZ39TPQ
Audi,Mini Expedition,Malibu,Cargo Van,Diesel,turquoise,WJ39PEY
Volvo,Hyundai Beetle,Malibu,Sedan,Diesel,orchid,QR04IAZ
Ford,Polestar Wrangler,Impala,SUV,Gasoline,turquoise,LL61IAC
Polestar,Fiat XTS,CX-9,Wagon,Diesel,teal,MI65ATG
Jaguar,Smart Model T,Ranchero,Crew Cab Pickup,Diesel,tan,RR87JDK
Aston Martin,Smart Roadster,2,SUV,Electric,red,ZR66TLP
Toyota,Bugatti Land Cruiser,Golf,Cargo Van,Diesel,tan,IW58QQL
Mercedes Benz,Rolls Royce Model X,Corvette,Crew Cab Pickup,Electric,salmon,UR53GWA
Chevrolet,Chrysler A8,Corvette,Crew Cab Pickup,Gasoline,ivory,GL58JJA
Chevrolet,Rolls Royce Beetle,Challenger,Crew Cab Pickup,Hybrid,lime,BT12EFO
Chevrolet,Dodge Ranchero,Wrangler,Extended Cab Pickup,Gasoline,red,EC96RUR
Bentley,Cadillac Camaro,Element,Coupe,Gasoline,azure,RS55BHM
Rolls Royce,Jeep Challenger,Prius,Wagon,Diesel,magenta,AM01JZU
Cadillac,Hyundai Impala,Fortwo,Extended Cab Pickup,Gasoline,maroon,LD37IEB
Mazda,Jaguar A4,1,Coupe,Hybrid,plum,VT96HPY
Ferrari,Audi Altima,Escalade,Wagon,Diesel,violet,YU30UVT
Chevrolet,Jaguar Charger,Explorer,Crew Cab Pickup,Diesel,blue,BX83SNL
Jeep,Land Rover Model T,Impala,Coupe,Gasoline,blue,WN52PJX
BMW,Tesla Jetta,Camry,Convertible,Hybrid,silver,UE95RBX
Porsche,Bentley Malibu,Roadster,Hatchback,Gasoline,lime,KD25LFO
Polestar,Smart Altima,Golf,Convertible,Electric,fuchsia,ZA98IOS
Honda,Mazda A4,Impala,Passenger Van,Gasoline,silver,ZH40CYG
Smart,Chrysler Altima,911,Hatchback,Gasoline,magenta,AU73LUE
Polestar,Mini Camry,Model Y,Extended Cab Pickup,Electric,magenta,BA77JXS
Chrysler,Kia Model T,Expedition,Coupe,Electric,orange,XW15FHF
